uitkomstmaat,model,ggd_regio,b,ll,ul,referentie_regio,beta_referentie_regio,goedkoper_dan_ref_regio,duurder_dan_ref_regio,verschil,se,t,pvalue,type_uitkomstmaat
TotaleZorgkosten,M1,GGD Haaglanden,2423.46,2266.766,2580.155,GGD Groningen,2200.809,False,False,0.0,7994738.0,30.31,0.0,Kosten
TotaleZorgkosten,M1,GGD Hollands Midden,2176.896,2058.449,2295.342,GGD Groningen,2200.809,False,False,0.0,6043286.0,36.02,0.0,Kosten
TotaleZorgkosten,M1,GGD Rotterdam-Rijnmond,2431.591,2307.563,2555.619,GGD Groningen,2200.809,False,False,0.0,6328044.0,38.43,0.0,Kosten
TotaleZorgkosten,M1,DGJ Zuid-Holland Zuid,2102.92,1949.862,2255.979,GGD Groningen,2200.809,False,False,0.0,7809236.0,26.93,0.0,Kosten
TotaleZorgkosten,M1,GGD Zeeland,2462.899,2293.216,2632.582,GGD Groningen,2200.809,False,False,0.0,8657435.0,28.45,0.0,Kosten
TotaleZorgkosten,M1,GGD West Brabant,2396.331,2249.242,2543.419,GGD Groningen,2200.809,False,False,0.0,7504632.0,31.93,0.0,Kosten
TotaleZorgkosten,M1,GGD Hart voor Brabant,2290.382,2071.342,2509.422,GGD Groningen,2200.809,False,False,0.0,1117566.0,20.49,0.0,Kosten
TotaleZorgkosten,M1,GGD Brabant Zuidoost,2351.282,2225.911,2476.653,GGD Groningen,2200.809,False,False,0.0,6396553.0,36.76,0.0,Kosten
TotaleZorgkosten,M1,GGD Limburg-Noord,2522.562,2348.413,2696.71,GGD Groningen,2200.809,False,True,321.7529999999997,8885257.0,28.39,0.0,Kosten
TotaleZorgkosten,M1,GGD Zuid-Limburg,2705.002,2592.874,2817.13,GGD Groningen,2200.809,False,True,504.19299999999976,5720915.0,47.28,0.0,Kosten
TotaleZorgkosten,M1,GGD Flevoland,2101.431,1875.027,2327.835,GGD Groningen,2200.809,False,False,0.0,1155139.0,18.19,0.0,Kosten
TotaleZorgkosten,M1,GGD Groningen,2200.809,2054.313,2347.304,GGD Fryslan,2286.235,False,False,0.0,7474382.0,29.44,0.0,Kosten
TotaleZorgkosten,M1,GGD Fryslan,2286.235,2132.77,2439.7,GGD Fryslan,2286.235,False,False,0.0,7829961.0,29.2,0.0,Kosten
TotaleZorgkosten,M1,GGD Drenthe,2308.475,2081.192,2535.759,GGD Fryslan,2286.235,False,False,0.0,1159627.0,19.91,0.0,Kosten
TotaleZorgkosten,M1,GGD IJsselland,2271.218,2111.888,2430.548,GGD Fryslan,2286.235,False,False,0.0,8129178.0,27.94,0.0,Kosten
TotaleZorgkosten,M1,GGD Twente,2415.586,2167.587,2663.584,GGD Fryslan,2286.235,False,False,0.0,1265318.0,19.09,0.0,Kosten
TotaleZorgkosten,M1,Noord en Oost Gelderland,2273.445,2156.378,2390.513,GGD Fryslan,2286.235,False,False,0.0,5972903.0,38.06,0.0,Kosten
TotaleZorgkosten,M1,VG Gelderland Midden,2229.307,2069.131,2389.482,GGD Fryslan,2286.235,False,False,0.0,8172332.0,27.28,0.0,Kosten
TotaleZorgkosten,M1,GGD Gelderland Zuid,2355.923,2139.71,2572.137,GGD Fryslan,2286.235,False,False,0.0,1103147.0,21.36,0.0,Kosten
TotaleZorgkosten,M1,GGD regio Utrecht,2133.688,2034.828,2232.548,GGD Fryslan,2286.235,False,False,0.0,5043933.0,42.3,0.0,Kosten
TotaleZorgkosten,M1,GGD Hollands Noorden,2091.365,1970.997,2211.734,GGD Fryslan,2286.235,False,False,0.0,614134.0,34.05,0.0,Kosten
TotaleZorgkosten,M1,GGD Zaanstreek Waterland,2333.326,2195.836,2470.816,GGD Fryslan,2286.235,False,False,0.0,7014914.0,33.26,0.0,Kosten
TotaleZorgkosten,M1,GGD Kennemerland,2211.296,2076.582,2346.009,GGD Fryslan,2286.235,False,False,0.0,6873218.0,32.17,0.0,Kosten
TotaleZorgkosten,M1,GGD Amsterdam,2326.613,2137.539,2515.686,GGD Fryslan,2286.235,False,False,0.0,9646747.0,24.12,0.0,Kosten
TotaleZorgkosten,M1,GGD Gooi- en Vechtstreek,2310.381,2100.845,2519.918,GGD Fryslan,2286.235,False,False,0.0,1069081.0,21.61,0.0,Kosten
TotaleZorgkosten,M1,GGD Haaglanden,2423.46,2266.766,2580.155,GGD Fryslan,2286.235,False,False,0.0,7994738.0,30.31,0.0,Kosten
TotaleZorgkosten,M1,GGD Hollands Midden,2176.896,2058.449,2295.342,GGD Fryslan,2286.235,False,False,0.0,6043286.0,36.02,0.0,Kosten
TotaleZorgkosten,M1,GGD Rotterdam-Rijnmond,2431.591,2307.563,2555.619,GGD Fryslan,2286.235,False,False,0.0,6328044.0,38.43,0.0,Kosten
TotaleZorgkosten,M1,DGJ Zuid-Holland Zuid,2102.92,1949.862,2255.979,GGD Fryslan,2286.235,False,False,0.0,7809236.0,26.93,0.0,Kosten
TotaleZorgkosten,M1,GGD Zeeland,2462.899,2293.216,2632.582,GGD Fryslan,2286.235,False,False,0.0,8657435.0,28.45,0.0,Kosten
TotaleZorgkosten,M1,GGD West Brabant,2396.331,2249.242,2543.419,GGD Fryslan,2286.235,False,False,0.0,7504632.0,31.93,0.0,Kosten
TotaleZorgkosten,M1,GGD Hart voor Brabant,2290.382,2071.342,2509.422,GGD Fryslan,2286.235,False,False,0.0,1117566.0,20.49,0.0,Kosten
TotaleZorgkosten,M1,GGD Brabant Zuidoost,2351.282,2225.911,2476.653,GGD Fryslan,2286.235,False,False,0.0,6396553.0,36.76,0.0,Kosten
TotaleZorgkosten,M1,GGD Limburg-Noord,2522.562,2348.413,2696.71,GGD Fryslan,2286.235,False,False,0.0,8885257.0,28.39,0.0,Kosten
TotaleZorgkosten,M1,GGD Zuid-Limburg,2705.002,2592.874,2817.13,GGD Fryslan,2286.235,False,True,418.7669999999998,5720915.0,47.28,0.0,Kosten
TotaleZorgkosten,M1,GGD Flevoland,2101.431,1875.027,2327.835,GGD Fryslan,2286.235,False,False,0.0,1155139.0,18.19,0.0,Kosten
TotaleZorgkosten,M1,GGD Groningen,2200.809,2054.313,2347.304,GGD Drenthe,2308.475,False,False,0.0,7474382.0,29.44,0.0,Kosten
TotaleZorgkosten,M1,GGD Fryslan,2286.235,2132.77,2439.7,GGD Drenthe,2308.475,False,False,0.0,7829961.0,29.2,0.0,Kosten
TotaleZorgkosten,M1,GGD Drenthe,2308.475,2081.192,2535.759,GGD Drenthe,2308.475,False,False,0.0,1159627.0,19.91,0.0,Kosten
TotaleZorgkosten,M1,GGD IJsselland,2271.218,2111.888,2430.548,GGD Drenthe,2308.475,False,False,0.0,8129178.0,27.94,0.0,Kosten
TotaleZorgkosten,M1,GGD Twente,2415.586,2167.587,2663.584,GGD Drenthe,2308.475,False,False,0.0,1265318.0,19.09,0.0,Kosten
TotaleZorgkosten,M1,Noord en Oost Gelderland,2273.445,2156.378,2390.513,GGD Drenthe,2308.475,False,False,0.0,5972903.0,38.06,0.0,Kosten
TotaleZorgkosten,M1,VG Gelderland Midden,2229.307,2069.131,2389.482,GGD Drenthe,2308.475,False,False,0.0,8172332.0,27.28,0.0,Kosten
TotaleZorgkosten,M1,GGD Gelderland Zuid,2355.923,2139.71,2572.137,GGD Drenthe,2308.475,False,False,0.0,1103147.0,21.36,0.0,Kosten
TotaleZorgkosten,M1,GGD regio Utrecht,2133.688,2034.828,2232.548,GGD Drenthe,2308.475,False,False,0.0,5043933.0,42.3,0.0,Kosten
TotaleZorgkosten,M1,GGD Hollands Noorden,2091.365,1970.997,2211.734,GGD Drenthe,2308.475,False,False,0.0,614134.0,34.05,0.0,Kosten
TotaleZorgkosten,M1,GGD Zaanstreek Waterland,2333.326,2195.836,2470.816,GGD Drenthe,2308.475,False,False,0.0,7014914.0,33.26,0.0,Kosten
TotaleZorgkosten,M1,GGD Kennemerland,2211.296,2076.582,2346.009,GGD Drenthe,2308.475,False,False,0.0,6873218.0,32.17,0.0,Kosten
TotaleZorgkosten,M1,GGD Amsterdam,2326.613,2137.539,2515.686,GGD Drenthe,2308.475,False,False,0.0,9646747.0,24.12,0.0,Kosten
TotaleZorgkosten,M1,GGD Gooi- en Vechtstreek,2310.381,2100.845,2519.918,GGD Drenthe,2308.475,False,False,0.0,1069081.0,21.61,0.0,Kosten
TotaleZorgkosten,M1,GGD Haaglanden,2423.46,2266.766,2580.155,GGD Drenthe,2308.475,False,False,0.0,7994738.0,30.31,0.0,Kosten
TotaleZorgkosten,M1,GGD Hollands Midden,2176.896,2058.449,2295.342,GGD Drenthe,2308.475,False,False,0.0,6043286.0,36.02,0.0,Kosten
TotaleZorgkosten,M1,GGD Rotterdam-Rijnmond,2431.591,2307.563,2555.619,GGD Drenthe,2308.475,False,False,0.0,6328044.0,38.43,0.0,Kosten
TotaleZorgkosten,M1,DGJ Zuid-Holland Zuid,2102.92,1949.862,2255.979,GGD Drenthe,2308.475,False,False,0.0,7809236.0,26.93,0.0,Kosten
TotaleZorgkosten,M1,GGD Zeeland,2462.899,2293.216,2632.582,GGD Drenthe,2308.475,False,False,0.0,8657435.0,28.45,0.0,Kosten
TotaleZorgkosten,M1,GGD West Brabant,2396.331,2249.242,2543.419,GGD Drenthe,2308.475,False,False,0.0,7504632.0,31.93,0.0,Kosten
TotaleZorgkosten,M1,GGD Hart voor Brabant,2290.382,2071.342,2509.422,GGD Drenthe,2308.475,False,False,0.0,1117566.0,20.49,0.0,Kosten
TotaleZorgkosten,M1,GGD Brabant Zuidoost,2351.282,2225.911,2476.653,GGD Drenthe,2308.475,False,False,0.0,6396553.0,36.76,0.0,Kosten
TotaleZorgkosten,M1,GGD Limburg-Noord,2522.562,2348.413,2696.71,GGD Drenthe,2308.475,False,False,0.0,8885257.0,28.39,0.0,Kosten
TotaleZorgkosten,M1,GGD Zuid-Limburg,2705.002,2592.874,2817.13,GGD Drenthe,2308.475,False,True,396.52700000000004,5720915.0,47.28,0.0,Kosten
TotaleZorgkosten,M1,GGD Flevoland,2101.431,1875.027,2327.835,GGD Drenthe,2308.475,False,False,0.0,1155139.0,18.19,0.0,Kosten
TotaleZorgkosten,M1,GGD Groningen,2200.809,2054.313,2347.304,GGD IJsselland,2271.218,False,False,0.0,7474382.0,29.44,0.0,Kosten
TotaleZorgkosten,M1,GGD Fryslan,2286.235,2132.77,2439.7,GGD IJsselland,2271.218,False,False,0.0,7829961.0,29.2,0.0,Kosten
TotaleZorgkosten,M1,GGD Drenthe,2308.475,2081.192,2535.759,GGD IJsselland,2271.218,False,False,0.0,1159627.0,19.91,0.0,Kosten
TotaleZorgkosten,M1,GGD IJsselland,2271.218,2111.888,2430.548,GGD IJsselland,2271.218,False,False,0.0,8129178.0,27.94,0.0,Kosten
TotaleZorgkosten,M1,GGD Twente,2415.586,2167.587,2663.584,GGD IJsselland,2271.218,False,False,0.0,1265318.0,19.09,0.0,Kosten
TotaleZorgkosten,M1,Noord en Oost Gelderland,2273.445,2156.378,2390.513,GGD IJsselland,2271.218,False,False,0.0,5972903.0,38.06,0.0,Kosten
TotaleZorgkosten,M1,VG Gelderland Midden,2229.307,2069.131,2389.482,GGD IJsselland,2271.218,False,False,0.0,8172332.0,27.28,0.0,Kosten
TotaleZorgkosten,M1,GGD Gelderland Zuid,2355.923,2139.71,2572.137,GGD IJsselland,2271.218,False,False,0.0,1103147.0,21.36,0.0,Kosten
TotaleZorgkosten,M1,GGD regio Utrecht,2133.688,2034.828,2232.548,GGD IJsselland,2271.218,False,False,0.0,5043933.0,42.3,0.0,Kosten
TotaleZorgkosten,M1,GGD Hollands Noorden,2091.365,1970.997,2211.734,GGD IJsselland,2271.218,False,False,0.0,614134.0,34.05,0.0,Kosten
TotaleZorgkosten,M1,GGD Zaanstreek Waterland,2333.326,2195.836,2470.816,GGD IJsselland,2271.218,False,False,0.0,7014914.0,33.26,0.0,Kosten
TotaleZorgkosten,M1,GGD Kennemerland,2211.296,2076.582,2346.009,GGD IJsselland,2271.218,False,False,0.0,6873218.0,32.17,0.0,Kosten
TotaleZorgkosten,M1,GGD Amsterdam,2326.613,2137.539,2515.686,GGD IJsselland,2271.218,False,False,0.0,9646747.0,24.12,0.0,Kosten
TotaleZorgkosten,M1,GGD Gooi- en Vechtstreek,2310.381,2100.845,2519.918,GGD IJsselland,2271.218,False,False,0.0,1069081.0,21.61,0.0,Kosten
TotaleZorgkosten,M1,GGD Haaglanden,2423.46,2266.766,2580.155,GGD IJsselland,2271.218,False,False,0.0,7994738.0,30.31,0.0,Kosten
TotaleZorgkosten,M1,GGD Hollands Midden,2176.896,2058.449,2295.342,GGD IJsselland,2271.218,False,False,0.0,6043286.0,36.02,0.0,Kosten
TotaleZorgkosten,M1,GGD Rotterdam-Rijnmond,2431.591,2307.563,2555.619,GGD IJsselland,2271.218,False,False,0.0,6328044.0,38.43,0.0,Kosten
TotaleZorgkosten,M1,DGJ Zuid-Holland Zuid,2102.92,1949.862,2255.979,GGD IJsselland,2271.218,False,False,0.0,7809236.0,26.93,0.0,Kosten
TotaleZorgkosten,M1,GGD Zeeland,2462.899,2293.216,2632.582,GGD IJsselland,2271.218,False,False,0.0,8657435.0,28.45,0.0,Kosten
TotaleZorgkosten,M1,GGD West Brabant,2396.331,2249.242,2543.419,GGD IJsselland,2271.218,False,False,0.0,7504632.0,31.93,0.0,Kosten
TotaleZorgkosten,M1,GGD Hart voor Brabant,2290.382,2071.342,2509.422,GGD IJsselland,2271.218,False,False,0.0,1117566.0,20.49,0.0,Kosten
TotaleZorgkosten,M1,GGD Brabant Zuidoost,2351.282,2225.911,2476.653,GGD IJsselland,2271.218,False,False,0.0,6396553.0,36.76,0.0,Kosten
TotaleZorgkosten,M1,GGD Limburg-Noord,2522.562,2348.413,2696.71,GGD IJsselland,2271.218,False,False,0.0,8885257.0,28.39,0.0,Kosten
TotaleZorgkosten,M1,GGD Zuid-Limburg,2705.002,2592.874,2817.13,GGD IJsselland,2271.218,False,True,433.7840000000001,5720915.0,47.28,0.0,Kosten
TotaleZorgkosten,M1,GGD Flevoland,2101.431,1875.027,2327.835,GGD IJsselland,2271.218,False,False,0.0,1155139.0,18.19,0.0,Kosten
TotaleZorgkosten,M1,GGD Groningen,2200.809,2054.313,2347.304,GGD Twente,2415.586,False,False,0.0,7474382.0,29.44,0.0,Kosten
TotaleZorgkosten,M1,GGD Fryslan,2286.235,2132.77,2439.7,GGD Twente,2415.586,False,False,0.0,7829961.0,29.2,0.0,Kosten
TotaleZorgkosten,M1,GGD Drenthe,2308.475,2081.192,2535.759,GGD Twente,2415.586,False,False,0.0,1159627.0,19.91,0.0,Kosten
TotaleZorgkosten,M1,GGD IJsselland,2271.218,2111.888,2430.548,GGD Twente,2415.586,False,False,0.0,8129178.0,27.94,0.0,Kosten
TotaleZorgkosten,M1,GGD Twente,2415.586,2167.587,2663.584,GGD Twente,2415.586,False,False,0.0,1265318.0,19.09,0.0,Kosten
TotaleZorgkosten,M1,Noord en Oost Gelderland,2273.445,2156.378,2390.513,GGD Twente,2415.586,False,False,0.0,5972903.0,38.06,0.0,Kosten
TotaleZorgkosten,M1,VG Gelderland Midden,2229.307,2069.131,2389.482,GGD Twente,2415.586,False,False,0.0,8172332.0,27.28,0.0,Kosten
TotaleZorgkosten,M1,GGD Gelderland Zuid,2355.923,2139.71,2572.137,GGD Twente,2415.586,False,False,0.0,1103147.0,21.36,0.0,Kosten
TotaleZorgkosten,M1,GGD regio Utrecht,2133.688,2034.828,2232.548,GGD Twente,2415.586,False,False,0.0,5043933.0,42.3,0.0,Kosten
TotaleZorgkosten,M1,GGD Hollands Noorden,2091.365,1970.997,2211.734,GGD Twente,2415.586,False,False,0.0,614134.0,34.05,0.0,Kosten
TotaleZorgkosten,M1,GGD Zaanstreek Waterland,2333.326,2195.836,2470.816,GGD Twente,2415.586,False,False,0.0,7014914.0,33.26,0.0,Kosten
TotaleZorgkosten,M1,GGD Kennemerland,2211.296,2076.582,2346.009,GGD Twente,2415.586,False,False,0.0,6873218.0,32.17,0.0,Kosten
TotaleZorgkosten,M1,GGD Amsterdam,2326.613,2137.539,2515.686,GGD Twente,2415.586,False,False,0.0,9646747.0,24.12,0.0,Kosten
TotaleZorgkosten,M1,GGD Gooi- en Vechtstreek,2310.381,2100.845,2519.918,GGD Twente,2415.586,False,False,0.0,1069081.0,21.61,0.0,Kosten
TotaleZorgkosten,M1,GGD Haaglanden,2423.46,2266.766,2580.155,GGD Twente,2415.586,False,False,0.0,7994738.0,30.31,0.0,Kosten
TotaleZorgkosten,M1,GGD Hollands Midden,2176.896,2058.449,2295.342,GGD Twente,2415.586,False,False,0.0,6043286.0,36.02,0.0,Kosten
TotaleZorgkosten,M1,GGD Rotterdam-Rijnmond,2431.591,2307.563,2555.619,GGD Twente,2415.586,False,False,0.0,6328044.0,38.43,0.0,Kosten
TotaleZorgkosten,M1,DGJ Zuid-Holland Zuid,2102.92,1949.862,2255.979,GGD Twente,2415.586,False,False,0.0,7809236.0,26.93,0.0,Kosten
TotaleZorgkosten,M1,GGD Zeeland,2462.899,2293.216,2632.582,GGD Twente,2415.586,False,False,0.0,8657435.0,28.45,0.0,Kosten
TotaleZorgkosten,M1,GGD West Brabant,2396.331,2249.242,2543.419,GGD Twente,2415.586,False,False,0.0,7504632.0,31.93,0.0,Kosten
TotaleZorgkosten,M1,GGD Hart voor Brabant,2290.382,2071.342,2509.422,GGD Twente,2415.586,False,False,0.0,1117566.0,20.49,0.0,Kosten
TotaleZorgkosten,M1,GGD Brabant Zuidoost,2351.282,2225.911,2476.653,GGD Twente,2415.586,False,False,0.0,6396553.0,36.76,0.0,Kosten
TotaleZorgkosten,M1,GGD Limburg-Noord,2522.562,2348.413,2696.71,GGD Twente,2415.586,False,False,0.0,8885257.0,28.39,0.0,Kosten
TotaleZorgkosten,M1,GGD Zuid-Limburg,2705.002,2592.874,2817.13,GGD Twente,2415.586,False,False,0.0,5720915.0,47.28,0.0,Kosten
TotaleZorgkosten,M1,GGD Flevoland,2101.431,1875.027,2327.835,GGD Twente,2415.586,False,False,0.0,1155139.0,18.19,0.0,Kosten
TotaleZorgkosten,M1,GGD Groningen,2200.809,2054.313,2347.304,Noord en Oost Gelderland,2273.445,False,False,0.0,7474382.0,29.44,0.0,Kosten
TotaleZorgkosten,M1,GGD Fryslan,2286.235,2132.77,2439.7,Noord en Oost Gelderland,2273.445,False,False,0.0,7829961.0,29.2,0.0,Kosten
TotaleZorgkosten,M1,GGD Drenthe,2308.475,2081.192,2535.759,Noord en Oost Gelderland,2273.445,False,False,0.0,1159627.0,19.91,0.0,Kosten
TotaleZorgkosten,M1,GGD IJsselland,2271.218,2111.888,2430.548,Noord en Oost Gelderland,2273.445,False,False,0.0,8129178.0,27.94,0.0,Kosten
TotaleZorgkosten,M1,GGD Twente,2415.586,2167.587,2663.584,Noord en Oost Gelderland,2273.445,False,False,0.0,1265318.0,19.09,0.0,Kosten
TotaleZorgkosten,M1,Noord en Oost Gelderland,2273.445,2156.378,2390.513,Noord en Oost Gelderland,2273.445,False,False,0.0,5972903.0,38.06,0.0,Kosten
TotaleZorgkosten,M1,VG Gelderland Midden,2229.307,2069.131,2389.482,Noord en Oost Gelderland,2273.445,False,False,0.0,8172332.0,27.28,0.0,Kosten
TotaleZorgkosten,M1,GGD Gelderland Zuid,2355.923,2139.71,2572.137,Noord en Oost Gelderland,2273.445,False,False,0.0,1103147.0,21.36,0.0,Kosten
TotaleZorgkosten,M1,GGD regio Utrecht,2133.688,2034.828,2232.548,Noord en Oost Gelderland,2273.445,False,False,0.0,5043933.0,42.3,0.0,Kosten
TotaleZorgkosten,M1,GGD Hollands Noorden,2091.365,1970.997,2211.734,Noord en Oost Gelderland,2273.445,False,False,0.0,614134.0,34.05,0.0,Kosten
TotaleZorgkosten,M1,GGD Zaanstreek Waterland,2333.326,2195.836,2470.816,Noord en Oost Gelderland,2273.445,False,False,0.0,7014914.0,33.26,0.0,Kosten
TotaleZorgkosten,M1,GGD Kennemerland,2211.296,2076.582,2346.009,Noord en Oost Gelderland,2273.445,False,False,0.0,6873218.0,32.17,0.0,Kosten
TotaleZorgkosten,M1,GGD Amsterdam,2326.613,2137.539,2515.686,Noord en Oost Gelderland,2273.445,False,False,0.0,9646747.0,24.12,0.0,Kosten
TotaleZorgkosten,M1,GGD Gooi- en Vechtstreek,2310.381,2100.845,2519.918,Noord en Oost Gelderland,2273.445,False,False,0.0,1069081.0,21.61,0.0,Kosten
TotaleZorgkosten,M1,GGD Haaglanden,2423.46,2266.766,2580.155,Noord en Oost Gelderland,2273.445,False,False,0.0,7994738.0,30.31,0.0,Kosten
TotaleZorgkosten,M1,GGD Hollands Midden,2176.896,2058.449,2295.342,Noord en Oost Gelderland,2273.445,False,False,0.0,6043286.0,36.02,0.0,Kosten
TotaleZorgkosten,M1,GGD Rotterdam-Rijnmond,2431.591,2307.563,2555.619,Noord en Oost Gelderland,2273.445,False,False,0.0,6328044.0,38.43,0.0,Kosten
TotaleZorgkosten,M1,DGJ Zuid-Holland Zuid,2102.92,1949.862,2255.979,Noord en Oost Gelderland,2273.445,False,False,0.0,7809236.0,26.93,0.0,Kosten
TotaleZorgkosten,M1,GGD Zeeland,2462.899,2293.216,2632.582,Noord en Oost Gelderland,2273.445,False,False,0.0,8657435.0,28.45,0.0,Kosten
TotaleZorgkosten,M1,GGD West Brabant,2396.331,2249.242,2543.419,Noord en Oost Gelderland,2273.445,False,False,0.0,7504632.0,31.93,0.0,Kosten
TotaleZorgkosten,M1,GGD Hart voor Brabant,2290.382,2071.342,2509.422,Noord en Oost Gelderland,2273.445,False,False,0.0,1117566.0,20.49,0.0,Kosten
TotaleZorgkosten,M1,GGD Brabant Zuidoost,2351.282,2225.911,2476.653,Noord en Oost Gelderland,2273.445,False,False,0.0,6396553.0,36.76,0.0,Kosten
TotaleZorgkosten,M1,GGD Limburg-Noord,2522.562,2348.413,2696.71,Noord en Oost Gelderland,2273.445,False,False,0.0,8885257.0,28.39,0.0,Kosten
TotaleZorgkosten,M1,GGD Zuid-Limburg,2705.002,2592.874,2817.13,Noord en Oost Gelderland,2273.445,False,True,431.5569999999998,5720915.0,47.28,0.0,Kosten
TotaleZorgkosten,M1,GGD Flevoland,2101.431,1875.027,2327.835,Noord en Oost Gelderland,2273.445,False,False,0.0,1155139.0,18.19,0.0,Kosten
TotaleZorgkosten,M1,GGD Groningen,2200.809,2054.313,2347.304,VG Gelderland Midden,2229.307,False,False,0.0,7474382.0,29.44,0.0,Kosten
TotaleZorgkosten,M1,GGD Fryslan,2286.235,2132.77,2439.7,VG Gelderland Midden,2229.307,False,False,0.0,7829961.0,29.2,0.0,Kosten
TotaleZorgkosten,M1,GGD Drenthe,2308.475,2081.192,2535.759,VG Gelderland Midden,2229.307,False,False,0.0,1159627.0,19.91,0.0,Kosten
TotaleZorgkosten,M1,GGD IJsselland,2271.218,2111.888,2430.548,VG Gelderland Midden,2229.307,False,False,0.0,8129178.0,27.94,0.0,Kosten
TotaleZorgkosten,M1,GGD Twente,2415.586,2167.587,2663.584,VG Gelderland Midden,2229.307,False,False,0.0,1265318.0,19.09,0.0,Kosten
TotaleZorgkosten,M1,Noord en Oost Gelderland,2273.445,2156.378,2390.513,VG Gelderland Midden,2229.307,False,False,0.0,5972903.0,38.06,0.0,Kosten
TotaleZorgkosten,M1,VG Gelderland Midden,2229.307,2069.131,2389.482,VG Gelderland Midden,2229.307,False,False,0.0,8172332.0,27.28,0.0,Kosten
TotaleZorgkosten,M1,GGD Gelderland Zuid,2355.923,2139.71,2572.137,VG Gelderland Midden,2229.307,False,False,0.0,1103147.0,21.36,0.0,Kosten
TotaleZorgkosten,M1,GGD regio Utrecht,2133.688,2034.828,2232.548,VG Gelderland Midden,2229.307,False,False,0.0,5043933.0,42.3,0.0,Kosten
TotaleZorgkosten,M1,GGD Hollands Noorden,2091.365,1970.997,2211.734,VG Gelderland Midden,2229.307,False,False,0.0,614134.0,34.05,0.0,Kosten
TotaleZorgkosten,M1,GGD Zaanstreek Waterland,2333.326,2195.836,2470.816,VG Gelderland Midden,2229.307,False,False,0.0,7014914.0,33.26,0.0,Kosten
TotaleZorgkosten,M1,GGD Kennemerland,2211.296,2076.582,2346.009,VG Gelderland Midden,2229.307,False,False,0.0,6873218.0,32.17,0.0,Kosten
TotaleZorgkosten,M1,GGD Amsterdam,2326.613,2137.539,2515.686,VG Gelderland Midden,2229.307,False,False,0.0,9646747.0,24.12,0.0,Kosten
TotaleZorgkosten,M1,GGD Gooi- en Vechtstreek,2310.381,2100.845,2519.918,VG Gelderland Midden,2229.307,False,False,0.0,1069081.0,21.61,0.0,Kosten
TotaleZorgkosten,M1,GGD Haaglanden,2423.46,2266.766,2580.155,VG Gelderland Midden,2229.307,False,False,0.0,7994738.0,30.31,0.0,Kosten
TotaleZorgkosten,M1,GGD Hollands Midden,2176.896,2058.449,2295.342,VG Gelderland Midden,2229.307,False,False,0.0,6043286.0,36.02,0.0,Kosten
TotaleZorgkosten,M1,GGD Rotterdam-Rijnmond,2431.591,2307.563,2555.619,VG Gelderland Midden,2229.307,False,False,0.0,6328044.0,38.43,0.0,Kosten
TotaleZorgkosten,M1,DGJ Zuid-Holland Zuid,2102.92,1949.862,2255.979,VG Gelderland Midden,2229.307,False,False,0.0,7809236.0,26.93,0.0,Kosten
